Round,Pick_Overall,Team,Player,Position
15,6,The Super Soakers,Deebo Samuel,3126486
15,7,Lamar Jack0ff,Keon Coleman,4635008
15,8,TOBENATORS,Patriots D/ST,-16017
16,1,TOBENATORS,Evan McPherson,4360234
16,2,Lamar Jack0ff,Aaron Rodgers,8439
16,3,The Super Soakers,Jauan Jennings,3886598
16,4,Tyler's Top Team,Tyler Bass,3917232
16,5,Njigbas in Paris ,Tucker Kraft,4572680
16,6,Start Diggs in yo butt twin,Younghoe Koo,3049899
16,7,Aidan’s Maidens,Ty Chandler,4242431
16,8,Steam rivers ,Ricky Pearsall,4428209
